Source	Target	Type	id	label	timeset	weight
Spencer, John, Groom.	H. T.	Undirected	1158			268.0
Reading, John, 1588-1667.	Prynne, William, 1600-1669.	Undirected	1159			65.0
Killigrew, Henry, 1613-1700.	Grosse, Alexander, 1596?-1654.	Undirected	1160			64.0
Paget, William Paget, Baron, 1609-1678.	England and Wales. Parliament.	Undirected	1161			832.0
Gardiner, Thomas, Sir, 1591-1652.	England and Wales. Parliament. House of Commons.	Undirected	1162			71.0
Bridge, William, 1600?-1670.	Prynne, William, 1600-1669.	Undirected	1163			64.0
England and Wales. Sovereign (1603-1625 : James I)	England and Wales. Sovereign (1603-1625 : James I)	Undirected	1164			68.0
Fairfax, Ferdinando Fairfax, Baron, 1584-1648.	Goring, George Goring, Baron, 1608-1657.	Undirected	1165			66.0
Felton, Edmond.	Wroth, Thomas, Sir, 1584-1672.	Undirected	1166			65.0
England and Wales. Parliament. House of Commons.	Rushworth, John, 1612?-1690.	Undirected	1167			167.0
England and Wales. Parliament. House of Commons.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1168			166.0
England and Wales. Parliament. House of Commons.	Cromwell, Oliver, 1599-1658.	Undirected	1169			250.0
England and Wales. Parliament. House of Commons.	England and Wales. Parliament.	Undirected	1170			83.0
England and Wales. Parliament. House of Commons.	Clark, Robert, Captain of the Swan frigate.	Undirected	1171			83.0
England and Wales. Parliament. House of Commons.	Cillard, Alderman.	Undirected	1172			284.0
England and Wales. Parliament. House of Commons.	Hippisley, Edmund.	Undirected	1173			1900.0
Inchiquin, Murrough O'Brien, Earl of, 1614-1674.	Hamilton, James Hamilton, Duke of, 1606-1649.	Undirected	1174			73.0
Haward, Lazarus.	Brookes, William.	Undirected	1175			67.0
Barber, Edward, d. 1674?	Barber, Edward, d. 1674?	Undirected	1176			82.0
Barber, Edward, d. 1674?	Lenthall, William, 1591-1662.	Undirected	1177			870.0
Barber, Edward, d. 1674?	Fage, Robert.	Undirected	1178			129.0
Bray, William, 17th cent.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1179			83.0
Bray, William, 17th cent.	England and Wales. Army.	Undirected	1180			76.0
Clark, Robert, Captain of the Swan frigate.	Essex, Robert Devereux, Earl of, 1591-1646.	Undirected	1181			64.0
Clark, Robert, Captain of the Swan frigate.	Rushworth, John, 1612?-1690.	Undirected	1182			357.0
Clark, Robert, Captain of the Swan frigate.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1183			294.0
Clark, Robert, Captain of the Swan frigate.	Hammond, Robert, 1621-1654.	Undirected	1184			73.0
Clark, Robert, Captain of the Swan frigate.	Stapleton, Philip, Sir, 1603-1647.	Undirected	1185			137.0
Clark, Robert, Captain of the Swan frigate.	England and Wales. Parliament.	Undirected	1186			83.0
Clark, Robert, Captain of the Swan frigate.	Cromwell, Oliver, 1599-1658.	Undirected	1187			166.0
Holles, Denzil Holles, Baron, 1599-1680.	Glynne, John, Sir, 1603-1666.	Undirected	1188			371.0
Dickinson, Francisco.	La Fountaine.	Undirected	1189			70.0
