id	label	timeset	modularity_class	pageranks
Spencer, John, Groom.	Spencer, John, Groom.		0	0.006174541610626826
Reading, John, 1588-1667.	Reading, John, 1588-1667.		11	0.0017219082789356236
Killigrew, Henry, 1613-1700.	Killigrew, Henry, 1613-1700.		1	0.006174541610626826
Paget, William Paget, Baron, 1609-1678.	Paget, William Paget, Baron, 1609-1678.		15	0.001613165473861563
Gardiner, Thomas, Sir, 1591-1652.	Gardiner, Thomas, Sir, 1591-1652.		15	0.0017281414327057819
Bridge, William, 1600?-1670.	Bridge, William, 1600?-1670.		11	0.0017219082789356236
England and Wales. Sovereign (1603-1625 : James I)	England and Wales. Sovereign (1603-1625 : James I)		2	0.0013350696979901834
Fairfax, Ferdinando Fairfax, Baron, 1584-1648.	Fairfax, Ferdinando Fairfax, Baron, 1584-1648.		22	0.006174541610626826
Felton, Edmond.	Felton, Edmond.		6	0.006174541610626826
England and Wales. Parliament. House of Commons.	England and Wales. Parliament. House of Commons.		15	0.008910252058664725
Inchiquin, Murrough O'Brien, Earl of, 1614-1674.	Inchiquin, Murrough O'Brien, Earl of, 1614-1674.		3	0.004185606672326168
Haward, Lazarus.	Haward, Lazarus.		18	0.006174541610626826
Barber, Edward, d. 1674?	Barber, Edward, d. 1674?		7	0.003704353550051311
Bray, William, 17th cent.	Bray, William, 17th cent.		11	0.002237294950622223
Clark, Robert, Captain of the Swan frigate.	Clark, Robert, Captain of the Swan frigate.		15	0.0074200761878935595
Holles, Denzil Holles, Baron, 1599-1680.	Holles, Denzil Holles, Baron, 1599-1680.		23	0.006174541610626826
Dickinson, Francisco.	Dickinson, Francisco.		14	0.006174541610626826
Thompson, William, d. 1649.	Thompson, William, d. 1649.		11	0.002237294950622223
Heraclitus junior.	Heraclitus junior.		10	0.006174541610626826
Halhead, Henry.	Halhead, Henry.		11	0.0017219082789356236
Laud, William, 1573-1645.	Laud, William, 1573-1645.		4	0.0018080035255654114
Hamilton, James Hamilton, Duke of, 1606-1649.	Hamilton, James Hamilton, Duke of, 1606-1649.		3	0.012141346425528802
Lilburne, John, 1614?-1657.	Lilburne, John, 1614?-1657.		12	0.006174541610626826
Committee for the Militia of London.	Committee for the Militia of London.		7	0.0015154141611492993
England and Wales.	England and Wales.		15	0.005395162000046141
Eleanor, Lady, d. 1652.	Eleanor, Lady, d. 1652.		5	0.006174541610626826
Hewson, John, d. 1662.	Hewson, John, d. 1662.		15	0.0015392410132435055
Hammond, Robert, 1621-1654.	Hammond, Robert, 1621-1654.		15	0.0031359911817111967
Friend at Oxford.	Friend at Oxford.		9	0.006174541610626826
H. T.	H. T.		0	0.006174541610626826
Burton, Henry, 1578-1648.	Burton, Henry, 1578-1648.		4	0.0018080035255654114
Argyll, Archibald Campbell, Marquis of, 1598-1661.	Argyll, Archibald Campbell, Marquis of, 1598-1661.		11	0.0035778757312133523
Grenville, Richard, Sir, 1600-1658.	Grenville, Richard, Sir, 1600-1658.		3	0.004185606672326168
England and Wales. Parliament.	England and Wales. Parliament.		15	0.008848027606883434
Brereton, William, Sir, 1604-1661.	Brereton, William, Sir, 1604-1661.		15	0.0030200271090559594
Buckingham, George Villiers, Duke of, 1628-1687.	Buckingham, George Villiers, Duke of, 1628-1687.		3	0.004185606672326168
Douglas, Eleanor, Lady, d. 1652.	Douglas, Eleanor, Lady, d. 1652.		5	0.006174541610626826
Walker, George, 1581?-1651.	Walker, George, 1581?-1651.		11	0.0017219082789356236
